startcong,district,statename,pop_density
107,19,New York,2050598.4913794438
107,20,New York,1744299.8473548414
107,21,New York,2079724.9419074012
107,22,New York,340883.93054231344
107,23,New York,379038.92540588405
107,24,New York,172067.84893623483
107,25,New York,1224715.8885389646
107,26,New York,737796.7360105991
107,27,New York,627945.8089970135
107,28,New York,8093904.647016869
107,30,New York,3170973.5386064765
107,31,New York,341513.54362042114
103,2,Nevada,19998.65857817914
103,1,Nevada,9993223.8648764
104,2,Nevada,20487.99475762467
104,1,Nevada,10237742.56433148
105,2,Nevada,20978.002409990833
105,1,Nevada,10482596.795251772
106,2,Nevada,21469.91137636431
106,1,Nevada,10728401.102720365
107,2,Nevada,21926.084164575004
107,1,Nevada,10956348.231065677
108,1,Arkansas,147935.50564751745
108,2,Arkansas,430990.4679000313
108,3,Arkansas,297827.34061775834
108,4,Arkansas,126058.86623730998
109,1,Arkansas,150693.56100751527
109,2,Arkansas,439025.69625779905
109,3,Arkansas,303379.9244247985
109,4,Arkansas,128409.06154829545
110,1,Arkansas,153607.62618082904
110,2,Arkansas,447515.43850757496
110,3,Arkansas,309246.590964086
110,4,Arkansas,130892.19600801621
111,1,Arkansas,156432.81723315394
111,2,Arkansas,455746.2577975006
111,3,Arkansas,314934.3339718791
111,4,Arkansas,133299.59901381278
112,1,Arkansas,158890.8904365407
112,2,Arkansas,462907.5279430491
112,3,Arkansas,319882.9864404269
112,4,Arkansas,135394.17340142158
58,3,Ohio,501208.8866379971
58,4,Ohio,294015.27580198523
58,5,Ohio,259332.1761216052
58,6,Ohio,249679.04711797013
58,7,Ohio,310310.190688024
58,10,Ohio,230210.30209895252
58,11,Ohio,201604.618537979
58,12,Ohio,1249502.2296102955
58,13,Ohio,274483.377793399
58,14,Ohio,234934.54204502713
58,15,Ohio,255209.66873427437
58,16,Ohio,304942.7464093742
58,17,Ohio,240198.9351562727
58,18,Ohio,435317.8717556029
58,19,Ohio,248056.79756611993
58,1,Ohio,4261792.467433656
58,20,Ohio,608489.0564039852
58,8,Ohio,241209.68501851716
58,9,Ohio,404165.302011882
58,21,Ohio,31207782.24555158
58,2,Ohio,2726672.5662672115
59,3,Ohio,521037.94145959656
59,4,Ohio,305647.2423885555
59,5,Ohio,269591.9940825626
59,6,Ohio,259556.9635817354
59,7,Ohio,322586.82413745834
59,10,Ohio,239317.9871829844
59,11,Ohio,209580.59250781915
59,12,Ohio,1298935.6073320042
59,13,Ohio,285342.61451282725
59,14,Ohio,244229.1296668601
59,15,Ohio,265306.39017566654
59,16,Ohio,317007.0305775196
59,17,Ohio,249701.79510205734
59,18,Ohio,452540.1161610544
59,19,Ohio,257870.53385240727
59,1,Ohio,4430399.446934515
59,20,Ohio,632562.3782852322
59,8,Ohio,250752.53271185316
59,9,Ohio,420155.07422908983
59,21,Ohio,32442438.776002385
59,2,Ohio,2834546.431313252
60,3,Ohio,540842.132262611
60,4,Ohio,317264.6234370862
60,5,Ohio,279838.9470680204
60,6,Ohio,269422.49394335184
60,7,Ohio,334848.06368915056
60,10,Ohio,248414.25197224008
60,11,Ohio,217546.56525638053
60,12,Ohio,1348306.999627103
60,13,Ohio,296188.23463448824
60,14,Ohio,253512.0626333679
60,15,Ohio,275390.4511513015
60,16,Ohio,329056.18711661414
60,17,Ohio,259192.73923599778
